kid直播,#genre#
宁南综合,https://live3.rxip.sc96655.com/live/nnt_4000.m3u8
攀钢新闻综合,https://live3.rxip.sc96655.com/live/pgxwzh_2000.m3u8
攀枝花新闻综合,https://live3.rxip.sc96655.com/live/pzhytH265_4000.m3u8
彭山综合,https://live3.rxip.sc96655.com/live/pszh_2000.m3u8
彭州综合,https://live3.rxip.sc96655.com/live/pzxwzh_2000.m3u8
蓬安综合,https://live3.rxip.sc96655.com/live/pazh_2000.m3u8
蓬溪新闻综合,https://live3.rxip.sc96655.com/live/pxxw_2000.m3u8
平昌综合,https://live3.rxip.sc96655.com/live/pcxw_2000.m3u8
平武综合,https://live3.rxip.sc96655.com/live/pwgq_4000.m3u8
屏山综合,https://live3.rxip.sc96655.com/live/psxwzh_2000.m3u8
蒲江综合,https://live3.rxip.sc96655.com/live/pjxw_4000.m3u8
普格综合,https://live3.rxip.sc96655.com/live/pgt_4000.m3u8
前锋,https://live3.rxip.sc96655.com/live/qfxw_2000.m3u8
青白江综合,https://live3.rxip.sc96655.com/live/qbjxwzh_2000.m3u8
青川综合,https://live3.rxip.sc96655.com/live/qcxwzhH265_4000.m3u8
青神综合,https://live3.rxip.sc96655.com/live/qszh_2000.m3u8
渠县新闻综合,https://live3.rxip.sc96655.com/live/qxxwzh_2000.m3u8
仁和新闻,https://live3.rxip.sc96655.com/live/rhxwH264_2000.m3u8
荣县综合,https://live3.rxip.sc96655.com/live/rxzh_2000.m3u8
三台TV,https://live3.rxip.sc96655.com/live/stxwHD_2000.m3u8
射洪综合,https://live3.rxip.sc96655.com/live/shzhH264_2000.m3u8
石棉,https://live3.rxip.sc96655.com/live/smxwzh_2000.m3u8
什邡新闻综合,https://live3.rxip.sc96655.com/live/sfx_2000.m3u8
双流综合,https://live3.rxip.sc96655.com/live/slgq_2000.m3u8
松潘,https://live3.rxip.sc96655.com/live/spxwzhpdH264_2000.m3u8
遂宁综合,https://live3.rxip.sc96655.com/live/snxwzhHDH265_4000.m3u8
天全新闻,https://live3.rxip.sc96655.com/live/tqzh_2000.m3u8
通川区,https://live3.rxip.sc96655.com/live/xcxwzhH264_2000.m3u8
通江综合,https://live3.rxip.sc96655.com/live/tjxwH265_4000.m3u8
万源,https://live3.rxip.sc96655.com/live/wyxwzh_2000.m3u8
旺苍新闻综合,https://live3.rxip.sc96655.com/live/wcxwzhH265_4000.m3u8
温江综合频道,https://live3.rxip.sc96655.com/live/wjytH264_2000.m3u8
武胜综合,https://live3.rxip.sc96655.com/live/wsxw_2000.m3u8
五通桥,https://live3.rxip.sc96655.com/live/wtqxwzh_2000.m3u8
西昌,https://live3.rxip.sc96655.com/live/xctHD_2000.m3u8
西充综合,https://live3.rxip.sc96655.com/live/xczh_2000.m3u8
喜德,https://live3.rxip.sc96655.com/live/xdxw_4000.m3u8
新都综合,https://live3.rxip.sc96655.com/live/xdzhpd_2000.m3u8
新津,https://live3.rxip.sc96655.com/live/xjzh_4000.m3u8
兴文电视台,https://live3.rxip.sc96655.com/live/xwt_2000.m3u8
叙永电视台,https://live3.rxip.sc96655.com/live/xyxw_2000.m3u8
叙州新闻综合,https://live3.rxip.sc96655.com/live/ybx_2000.m3u8
宣汉综合,https://live3.rxip.sc96655.com/live/xhxwzh_2000.m3u8
雅安公共,https://live3.rxip.sc96655.com/live/yagg_2000.m3u8
雅安新闻综合,https://live3.rxip.sc96655.com/live/yazh_2000.m3u8
雅安雨城,https://live3.rxip.sc96655.com/live/ycpd_2000.m3u8
盐边电视台,https://live3.rxip.sc96655.com/live/ybtgq_2000.m3u8
盐亭1,https://live3.rxip.sc96655.com/live/ytzh_2000.m3u8
雁江,https://live3.rxip.sc96655.com/live/yjxw_2000.m3u8
仪陇新闻综合,https://live3.rxip.sc96655.com/live/ylxw_2000.m3u8
宜宾公共,https://live3.rxip.sc96655.com/live/ybetH264_2000.m3u8
宜宾新闻综合,https://live3.rxip.sc96655.com/live/ybytH264_2000.m3u8
营山,https://live3.rxip.sc96655.com/live/ysxw_2000.m3u8
越西综合,https://live3.rxip.sc96655.com/live/yxt_4000.m3u8
岳池,https://live3.rxip.sc96655.com/live/ycxw_2000.m3u8
昭化综合,https://live3.rxip.sc96655.com/live/zhxwzh_2000.m3u8
中江新闻综合,https://live3.rxip.sc96655.com/live/zjxwzh_2000.m3u8
资阳新闻综合,https://live3.rxip.sc96655.com/live/zyxwzh_2000.m3u8
资中综合,https://live3.rxip.sc96655.com/live/zzzh_2000.m3u8
自贡文化生活,https://live3.rxip.sc96655.com/live/zggg_4000.m3u8
自贡综合,https://live3.rxip.sc96655.com/live/zgxw_4000.m3u8
郫县新闻综合,https://live3.rxip.sc96655.com/live/pxds1_2000.m3u8
荥经电视台,https://live3.rxip.sc96655.com/live/xjdst_2000.m3u8
阆中综合,https://live3.rxip.sc96655.com/live/lzxw_2000.m3u8
沐川综合,https://live3.rxip.sc96655.com/live/mcxw_2000.m3u8
泸定综合频道,https://live3.rxip.sc96655.com/live/ldxw_4000.m3u8
泸县综合,https://live3.rxip.sc96655.com/live/lxxwzh_2000.m3u8
泸州公共,https://live3.rxip.sc96655.com/live/lzgg_2000.m3u8
珙县新闻,https://live3.rxip.sc96655.com/live/gxzh_2000.m3u8
梓潼综合,https://live3.rxip.sc96655.com/live/ztgq_2000.m3u8
犍为新闻综合,https://live3.rxip.sc96655.com/live/qwxwzh_2000.m3u8
筠连TV,https://live3.rxip.sc96655.com/live/ylyt_2000.m3u8
川网导视,https://live3.rxip.sc96655.com/live/cwdsHDH264_4000.m3u8
精品导视,https://live3.rxip.sc96655.com/live/jpdsH265_4000.m3u8
沙湾融媒,https://live3.rxip.sc96655.com/live/swxwzh_2000.m3u8

🌸GD,#genre#
CCTV1 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv1
